LOCATION,SUBJECT,max,min,mean
SVN,ENRG,25.14017,-9.661449,6.889122185185186
SVN,FOOD,12.2492,-13.8461,3.483182822222222
SVN,TOT,1281.444,-0.5255523,71.46594048452381
SWE,ENRG,33.53286,-9.699144,7.555379130576923
SWE,FOOD,15.02238,-6.952962,4.494368885089552
SWE,TOT,13.70632,-0.4944606,4.285995599850747
TUR,ENRG,126.6425,-1.938833,35.967331413793104
TUR,FOOD,111.8735,-0.2472799,33.852607485
TUR,TOT,105.215,1.119642,31.158497895522384
USA,ENRG,30.86576,-18.39721,4.534221013846154
USA,FOOD,16.29268,-2.397707,3.520026214925373
USA,TOT,13.5492,-0.3555463,3.6685271611940298
ZAF,ENRG,26.78758,-2.461501,9.5829675675
ZAF,FOOD,25.25466,1.201602,10.373789692307692
ZAF,TOT,18.65492,-0.692031,7.596605923076923
