,LOCATION,SUBJECT,TIME,Value
146,AUS,TOT,1980,10.13584
147,AUS,TOT,1981,9.487666
148,AUS,TOT,1982,11.35182
149,AUS,TOT,1983,10.03891
150,AUS,TOT,1984,3.960396
151,AUS,TOT,1985,6.734694
152,AUS,TOT,1986,9.05035
153,AUS,TOT,1987,8.533022
154,AUS,TOT,1988,7.21594
155,AUS,TOT,1989,7.533903
156,AUS,TOT,1990,7.333022
157,AUS,TOT,1991,3.176675
158,AUS,TOT,1992,1.012231
159,AUS,TOT,1993,1.753653
160,AUS,TOT,1994,1.969635
161,AUS,TOT,1995,4.627767
162,AUS,TOT,1996,2.615385
163,AUS,TOT,1997,0.2248875
164,AUS,TOT,1998,0.8601346
165,AUS,TOT,1999,1.483129
166,AUS,TOT,2000,4.457435
167,AUS,TOT,2001,4.407135
168,AUS,TOT,2002,2.981575
169,AUS,TOT,2003,2.732596
170,AUS,TOT,2004,2.343255
171,AUS,TOT,2005,2.691832
172,AUS,TOT,2006,3.555288
173,AUS,TOT,2007,2.327611
174,AUS,TOT,2008,4.350298
175,AUS,TOT,2009,1.771117
176,AUS,TOT,2010,2.91834
177,AUS,TOT,2011,3.30385
178,AUS,TOT,2012,1.76278
179,AUS,TOT,2013,2.449889
180,AUS,TOT,2014,2.487923
181,AUS,TOT,2015,1.508367
182,AUS,TOT,2016,1.276991
183,AUS,TOT,2017,1.948647
184,AUS,TOT,2018,1.911401
185,AUS,TOT,2019,1.610768
186,AUS,TOT,2020,0.8469055
187,AUS,TOT,2021,2.86391
