,LOCATION,SUBJECT,TIME,Value
0,CHN,FOOD,1994,31.8
1,CHN,FOOD,1995,22.9
2,CHN,FOOD,1996,7.6
3,CHN,FOOD,1997,-0.1
4,CHN,FOOD,1998,-3.2
5,CHN,FOOD,1999,-4.2
6,CHN,FOOD,2000,-2.6
7,CHN,FOOD,2001,0.0
8,CHN,FOOD,2002,-0.6
9,CHN,FOOD,2003,3.4
10,CHN,FOOD,2004,9.9
11,CHN,FOOD,2005,2.9
12,CHN,FOOD,2006,2.3
13,CHN,FOOD,2007,12.3
14,CHN,FOOD,2008,14.3
15,CHN,FOOD,2009,0.7
16,CHN,FOOD,2010,7.2
17,CHN,FOOD,2011,11.8
18,CHN,FOOD,2012,4.8
19,CHN,FOOD,2013,4.7
20,CHN,FOOD,2014,3.1
21,CHN,FOOD,2015,2.3
22,CHN,FOOD,2016,3.76
23,CHN,FOOD,2017,-0.6
24,CHN,FOOD,2018,1.9
25,CHN,FOOD,2019,7.3
26,CHN,TOT,1985,9.3
27,CHN,TOT,1986,6.5
28,CHN,TOT,1987,7.3
29,CHN,TOT,1988,18.8
30,CHN,TOT,1989,18.0
31,CHN,TOT,1990,3.1
32,CHN,TOT,1991,3.4
33,CHN,TOT,1992,6.4
34,CHN,TOT,1993,14.7
35,CHN,TOT,1994,24.1
36,CHN,TOT,1995,17.1
37,CHN,TOT,1996,8.3
38,CHN,TOT,1997,2.8
39,CHN,TOT,1998,-0.8
40,CHN,TOT,1999,-1.4
41,CHN,TOT,2000,0.4
42,CHN,TOT,2001,0.7
43,CHN,TOT,2002,-0.8
44,CHN,TOT,2003,1.2
45,CHN,TOT,2004,3.9
46,CHN,TOT,2005,1.8
47,CHN,TOT,2006,1.5
48,CHN,TOT,2007,4.8
49,CHN,TOT,2008,5.9
50,CHN,TOT,2009,-0.7
51,CHN,TOT,2010,3.3
52,CHN,TOT,2011,5.4
53,CHN,TOT,2012,2.6
54,CHN,TOT,2013,2.6
55,CHN,TOT,2014,2.0
56,CHN,TOT,2015,1.4
57,CHN,TOT,2016,2.0
58,CHN,TOT,2017,1.6
59,CHN,TOT,2018,2.1
60,CHN,TOT,2019,2.9
61,CHN,TOT,2020,2.5
62,CHN,TOT,2021,0.9
