,LOCATION,SUBJECT,TIME,Value
4854,USA,ENRG,1958,0.2716337
4855,USA,ENRG,1959,1.702786
4856,USA,ENRG,1960,2.435312
4857,USA,ENRG,1961,0.2600297
4858,USA,ENRG,1962,0.4075584
4859,USA,ENRG,1963,0.1845018
4860,USA,ENRG,1964,-0.4051565
4861,USA,ENRG,1965,1.849112
4862,USA,ENRG,1966,1.525054
4863,USA,ENRG,1967,2.32475
4864,USA,ENRG,1968,1.468018
4865,USA,ENRG,1969,2.583534
4866,USA,ENRG,1970,2.753526
4867,USA,ENRG,1971,3.954248
4868,USA,ENRG,1972,2.766426
4869,USA,ENRG,1973,8.106455
4870,USA,ENRG,1974,29.20204
4871,USA,ENRG,1975,10.62199
4872,USA,ENRG,1976,7.166898
4873,USA,ENRG,1977,9.495659
4874,USA,ENRG,1978,6.360722
4875,USA,ENRG,1979,25.14277
4876,USA,ENRG,1980,30.86576
4877,USA,ENRG,1981,13.58001
4878,USA,ENRG,1982,1.466826
4879,USA,ENRG,1983,0.781644
4880,USA,ENRG,1984,1.000751
4881,USA,ENRG,1985,0.7018413
4882,USA,ENRG,1986,-13.18465
4883,USA,ENRG,1987,0.3966755
4884,USA,ENRG,1988,0.752587
4885,USA,ENRG,1989,5.676938
4886,USA,ENRG,1990,8.243505
4887,USA,ENRG,1991,0.3509918
4888,USA,ENRG,1992,0.5368472
4889,USA,ENRG,1993,1.116505
4890,USA,ENRG,1994,0.456073
4891,USA,ENRG,1995,0.5894066
4892,USA,ENRG,1996,4.648032
4893,USA,ENRG,1997,1.256053
4894,USA,ENRG,1998,-7.749215
4895,USA,ENRG,1999,3.6371
4896,USA,ENRG,2000,16.8751
4897,USA,ENRG,2001,3.758443
4898,USA,ENRG,2002,-5.891073
4899,USA,ENRG,2003,12.17725
4900,USA,ENRG,2004,10.91642
4901,USA,ENRG,2005,16.94831
4902,USA,ENRG,2006,11.18799
4903,USA,ENRG,2007,5.519155
4904,USA,ENRG,2008,13.93344
4905,USA,ENRG,2009,-18.39721
4906,USA,ENRG,2010,9.487447
4907,USA,ENRG,2011,15.35126
4908,USA,ENRG,2012,0.8902224
4909,USA,ENRG,2013,-0.6790125
4910,USA,ENRG,2014,-0.3379915
4911,USA,ENRG,2015,-16.7041
4912,USA,ENRG,2016,-6.584728
4913,USA,ENRG,2017,7.916659
4914,USA,ENRG,2018,7.529873
4915,USA,ENRG,2019,-2.11295
4916,USA,ENRG,2020,-8.520787
4917,USA,ENRG,2021,21.0082
4918,USA,ENRG,2022,25.1509
4919,USA,FOOD,1956,0.5930528
4920,USA,FOOD,1957,3.228523
4921,USA,FOOD,1958,4.351373
4922,USA,FOOD,1959,-2.397707
4923,USA,FOOD,1960,0.9078771
4924,USA,FOOD,1961,0.8467849
4925,USA,FOOD,1962,0.7084755
4926,USA,FOOD,1963,1.250651
4927,USA,FOOD,1964,1.20947
4928,USA,FOOD,1965,2.262904
4929,USA,FOOD,1966,5.146693
4930,USA,FOOD,1967,-0.3546938
4931,USA,FOOD,1968,3.227337
4932,USA,FOOD,1969,4.896552
4933,USA,FOOD,1970,4.996713
4934,USA,FOOD,1971,2.421206
4935,USA,FOOD,1972,4.442633
4936,USA,FOOD,1973,16.29268
4937,USA,FOOD,1974,14.84899
4938,USA,FOOD,1975,8.2542
4939,USA,FOOD,1976,2.118758
4940,USA,FOOD,1977,5.933659
4941,USA,FOOD,1978,10.52894
4942,USA,FOOD,1979,10.81264
4943,USA,FOOD,1980,7.995518
4944,USA,FOOD,1981,7.309252
4945,USA,FOOD,1982,3.445245
4946,USA,FOOD,1983,1.062022
4947,USA,FOOD,1984,3.699033
4948,USA,FOOD,1985,1.434941
4949,USA,FOOD,1986,2.861253
4950,USA,FOOD,1987,4.320124
4951,USA,FOOD,1988,4.171011
4952,USA,FOOD,1989,6.570857
4953,USA,FOOD,1990,6.528011
4954,USA,FOOD,1991,2.664063
4955,USA,FOOD,1992,0.723882
4956,USA,FOOD,1993,2.363116
4957,USA,FOOD,1994,2.873803
4958,USA,FOOD,1995,3.238866
4959,USA,FOOD,1996,3.731092
4960,USA,FOOD,1997,2.489739
4961,USA,FOOD,1998,1.891764
4962,USA,FOOD,1999,1.908358
4963,USA,FOOD,2000,2.238011
4964,USA,FOOD,2001,3.266157
4965,USA,FOOD,2002,1.283407
4966,USA,FOOD,2003,2.173604
4967,USA,FOOD,2004,3.780947
4968,USA,FOOD,2005,1.929016
4969,USA,FOOD,2006,1.751998
4970,USA,FOOD,2007,4.218012
4971,USA,FOOD,2008,6.402451
4972,USA,FOOD,2009,0.4591647
4973,USA,FOOD,2010,0.3293091
4974,USA,FOOD,2011,4.803924
4975,USA,FOOD,2012,2.453962
4976,USA,FOOD,2013,0.9083796
4977,USA,FOOD,2014,2.639801
4978,USA,FOOD,2015,1.167711
4979,USA,FOOD,2016,-1.325349
4980,USA,FOOD,2017,-0.2021815
4981,USA,FOOD,2018,0.4555647
4982,USA,FOOD,2019,0.8851313
4983,USA,FOOD,2020,3.50503
4984,USA,FOOD,2021,3.469165
4985,USA,FOOD,2022,11.43888
4986,USA,TOT,1956,1.525054
4987,USA,TOT,1957,3.341508
4988,USA,TOT,1958,2.729161
4989,USA,TOT,1959,1.010684
4990,USA,TOT,1960,1.457976
4991,USA,TOT,1961,1.070724
4992,USA,TOT,1962,1.198773
4993,USA,TOT,1963,1.239669
4994,USA,TOT,1964,1.278912
4995,USA,TOT,1965,1.585169
4996,USA,TOT,1966,3.015075
4997,USA,TOT,1967,2.772786
4998,USA,TOT,1968,4.271796
4999,USA,TOT,1969,5.462386
5000,USA,TOT,1970,5.838255
5001,USA,TOT,1971,4.292767
5002,USA,TOT,1972,3.272278
5003,USA,TOT,1973,6.17776
5004,USA,TOT,1974,11.0548
5005,USA,TOT,1975,9.143147
5006,USA,TOT,1976,5.744812
5007,USA,TOT,1977,6.501684
5008,USA,TOT,1978,7.630964
5009,USA,TOT,1979,11.25447
5010,USA,TOT,1980,13.5492
5011,USA,TOT,1981,10.33471
5012,USA,TOT,1982,6.131427
5013,USA,TOT,1983,3.212435
5014,USA,TOT,1984,4.300536
5015,USA,TOT,1985,3.545644
5016,USA,TOT,1986,1.898048
5017,USA,TOT,1987,3.664563
5018,USA,TOT,1988,4.077741
5019,USA,TOT,1989,4.827003
5020,USA,TOT,1990,5.397956
5021,USA,TOT,1991,4.234964
5022,USA,TOT,1992,3.02882
5023,USA,TOT,1993,2.951657
5024,USA,TOT,1994,2.607442
5025,USA,TOT,1995,2.80542
5026,USA,TOT,1996,2.931204
5027,USA,TOT,1997,2.33769
5028,USA,TOT,1998,1.552279
5029,USA,TOT,1999,2.188027
5030,USA,TOT,2000,3.376857
5031,USA,TOT,2001,2.826171
5032,USA,TOT,2002,1.586032
5033,USA,TOT,2003,2.270095
5034,USA,TOT,2004,2.677237
5035,USA,TOT,2005,3.392747
5036,USA,TOT,2006,3.225944
5037,USA,TOT,2007,2.852673
5038,USA,TOT,2008,3.8391
5039,USA,TOT,2009,-0.3555463
5040,USA,TOT,2010,1.640043
5041,USA,TOT,2011,3.156842
5042,USA,TOT,2012,2.069337
5043,USA,TOT,2013,1.464833
5044,USA,TOT,2014,1.622223
5045,USA,TOT,2015,0.1186271
5046,USA,TOT,2016,1.261583
5047,USA,TOT,2017,2.13011
5048,USA,TOT,2018,2.442583
5049,USA,TOT,2019,1.81221
5050,USA,TOT,2020,1.233584
5051,USA,TOT,2021,4.697859
5052,USA,TOT,2022,8.0028
