,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
1535,USA,CPI,ENRG,IDX2015,Dec-2019,104.9715
1536,USA,CPI,ENRG,IDX2015,Jan-2020,105.0016
1537,USA,CPI,ENRG,IDX2015,Feb-2020,102.6906
1538,USA,CPI,ENRG,IDX2015,Mar-2020,98.3627
1539,USA,CPI,ENRG,IDX2015,Apr-2020,90.23436
1540,USA,CPI,ENRG,IDX2015,May-2020,90.2319
1541,USA,CPI,ENRG,IDX2015,Jun-2020,95.30989
1542,USA,CPI,ENRG,IDX2015,Jul-2020,97.42231
1543,USA,CPI,ENRG,IDX2015,Aug-2020,97.27297
1544,USA,CPI,ENRG,IDX2015,Sep-2020,98.0103
1545,USA,CPI,ENRG,IDX2015,Oct-2020,96.82742
1546,USA,CPI,ENRG,IDX2015,Nov-2020,95.80719
1547,USA,CPI,ENRG,IDX2015,Dec-2020,97.66382
1548,USA,CPI,ENRG,IDX2015,Jan-2021,101.172
1549,USA,CPI,ENRG,IDX2015,Feb-2021,105.1169
1550,USA,CPI,ENRG,IDX2015,Mar-2021,111.3192
1551,USA,CPI,ENRG,IDX2015,Apr-2021,112.9234
1552,USA,CPI,ENRG,IDX2015,May-2021,115.9905
1553,USA,CPI,ENRG,IDX2015,Jun-2021,118.6426
1554,USA,CPI,ENRG,IDX2015,Jul-2021,120.6535
1555,USA,CPI,ENRG,IDX2015,Aug-2021,121.5599
1556,USA,CPI,ENRG,IDX2015,Sep-2021,122.3431
1557,USA,CPI,ENRG,IDX2015,Oct-2021,125.8474
1558,USA,CPI,ENRG,IDX2015,Nov-2021,127.7015
1559,USA,CPI,ENRG,IDX2015,Dec-2021,126.2757
1560,USA,CPI,ENRG,IDX2015,Jan-2022,128.4669
1561,USA,CPI,ENRG,IDX2015,Feb-2022,131.9752
1562,USA,CPI,ENRG,IDX2015,Mar-2022,146.9952
1563,USA,CPI,ENRG,IDX2015,Apr-2022,147.1051
1564,USA,CPI,ENRG,IDX2015,May-2022,156.1207
1565,USA,CPI,ENRG,IDX2015,Jun-2022,168.0263
1566,USA,CPI,ENRG,IDX2015,Jul-2022,160.382
1567,USA,CPI,ENRG,IDX2015,Aug-2022,150.5074
1568,USA,CPI,ENRG,IDX2015,Sep-2022,146.5502
1569,USA,CPI,ENRG,IDX2015,Oct-2022,148.0367
1570,USA,CPI,ENRG,IDX2015,Nov-2022,144.3865
1571,USA,CPI,ENRG,IDX2015,Dec-2022,135.507
