,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
744,USA,CPI,TOT,AGRWTH,Jan-2018,2.070508
745,USA,CPI,TOT,AGRWTH,Feb-2018,2.211795
746,USA,CPI,TOT,AGRWTH,Mar-2018,2.359711
747,USA,CPI,TOT,AGRWTH,Apr-2018,2.462744
748,USA,CPI,TOT,AGRWTH,May-2018,2.801012
749,USA,CPI,TOT,AGRWTH,Jun-2018,2.871548
750,USA,CPI,TOT,AGRWTH,Jul-2018,2.949515
751,USA,CPI,TOT,AGRWTH,Aug-2018,2.69918
752,USA,CPI,TOT,AGRWTH,Sep-2018,2.276972
753,USA,CPI,TOT,AGRWTH,Oct-2018,2.52247
754,USA,CPI,TOT,AGRWTH,Nov-2018,2.176601
755,USA,CPI,TOT,AGRWTH,Dec-2018,1.910159
756,USA,CPI,TOT,AGRWTH,Jan-2019,1.551235
757,USA,CPI,TOT,AGRWTH,Feb-2019,1.520135
758,USA,CPI,TOT,AGRWTH,Mar-2019,1.862523
759,USA,CPI,TOT,AGRWTH,Apr-2019,1.99644
760,USA,CPI,TOT,AGRWTH,May-2019,1.790228
761,USA,CPI,TOT,AGRWTH,Jun-2019,1.648485
762,USA,CPI,TOT,AGRWTH,Jul-2019,1.811465
763,USA,CPI,TOT,AGRWTH,Aug-2019,1.74978
764,USA,CPI,TOT,AGRWTH,Sep-2019,1.711305
765,USA,CPI,TOT,AGRWTH,Oct-2019,1.764043
766,USA,CPI,TOT,AGRWTH,Nov-2019,2.051278
767,USA,CPI,TOT,AGRWTH,Dec-2019,2.28513
768,USA,CPI,TOT,AGRWTH,Jan-2020,2.486572
769,USA,CPI,TOT,AGRWTH,Feb-2020,2.334874
770,USA,CPI,TOT,AGRWTH,Mar-2020,1.539327
771,USA,CPI,TOT,AGRWTH,Apr-2020,0.3290967
772,USA,CPI,TOT,AGRWTH,May-2020,0.1179264
773,USA,CPI,TOT,AGRWTH,Jun-2020,0.6457331
774,USA,CPI,TOT,AGRWTH,Jul-2020,0.9860818
775,USA,CPI,TOT,AGRWTH,Aug-2020,1.309645
776,USA,CPI,TOT,AGRWTH,Sep-2020,1.371325
777,USA,CPI,TOT,AGRWTH,Oct-2020,1.182066
778,USA,CPI,TOT,AGRWTH,Nov-2020,1.174536
779,USA,CPI,TOT,AGRWTH,Dec-2020,1.362005
780,USA,CPI,TOT,AGRWTH,Jan-2021,1.39977
781,USA,CPI,TOT,AGRWTH,Feb-2021,1.676215
782,USA,CPI,TOT,AGRWTH,Mar-2021,2.619762
783,USA,CPI,TOT,AGRWTH,Apr-2021,4.159695
784,USA,CPI,TOT,AGRWTH,May-2021,4.992707
785,USA,CPI,TOT,AGRWTH,Jun-2021,5.391451
786,USA,CPI,TOT,AGRWTH,Jul-2021,5.365475
787,USA,CPI,TOT,AGRWTH,Aug-2021,5.251272
788,USA,CPI,TOT,AGRWTH,Sep-2021,5.390349
789,USA,CPI,TOT,AGRWTH,Oct-2021,6.221869
790,USA,CPI,TOT,AGRWTH,Nov-2021,6.809003
791,USA,CPI,TOT,AGRWTH,Dec-2021,7.036403
792,USA,CPI,TOT,AGRWTH,Jan-2022,7.479873
793,USA,CPI,TOT,AGRWTH,Feb-2022,7.871064
794,USA,CPI,TOT,AGRWTH,Mar-2022,8.542456
795,USA,CPI,TOT,AGRWTH,Apr-2022,8.25863
796,USA,CPI,TOT,AGRWTH,May-2022,8.581511
797,USA,CPI,TOT,AGRWTH,Jun-2022,9.059758
