,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
511,BEL,CPI,ENRG,AGRWTH,Jan-2018,2.985544
512,BEL,CPI,ENRG,AGRWTH,Feb-2018,2.029826
513,BEL,CPI,ENRG,AGRWTH,Mar-2018,1.113861
514,BEL,CPI,ENRG,AGRWTH,Apr-2018,2.624453
515,BEL,CPI,ENRG,AGRWTH,May-2018,4.77287
516,BEL,CPI,ENRG,AGRWTH,Jun-2018,6.880252
517,BEL,CPI,ENRG,AGRWTH,Jul-2018,9.191759
518,BEL,CPI,ENRG,AGRWTH,Aug-2018,9.924306
519,BEL,CPI,ENRG,AGRWTH,Sep-2018,9.872678
520,BEL,CPI,ENRG,AGRWTH,Oct-2018,13.75465
521,BEL,CPI,ENRG,AGRWTH,Nov-2018,12.5811
522,BEL,CPI,ENRG,AGRWTH,Dec-2018,8.854219
523,BEL,CPI,ENRG,AGRWTH,Jan-2019,6.632082
524,BEL,CPI,ENRG,AGRWTH,Feb-2019,7.135607
525,BEL,CPI,ENRG,AGRWTH,Mar-2019,8.77193
526,BEL,CPI,ENRG,AGRWTH,Apr-2019,6.504972
527,BEL,CPI,ENRG,AGRWTH,May-2019,5.504496
528,BEL,CPI,ENRG,AGRWTH,Jun-2019,2.230958
529,BEL,CPI,ENRG,AGRWTH,Jul-2019,-0.3193033
530,BEL,CPI,ENRG,AGRWTH,Aug-2019,-1.998852
531,BEL,CPI,ENRG,AGRWTH,Sep-2019,-2.925532
532,BEL,CPI,ENRG,AGRWTH,Oct-2019,-6.663035
533,BEL,CPI,ENRG,AGRWTH,Nov-2019,-7.285007
534,BEL,CPI,ENRG,AGRWTH,Dec-2019,-4.355514
535,BEL,CPI,ENRG,AGRWTH,Jan-2020,-1.173328
536,BEL,CPI,ENRG,AGRWTH,Feb-2020,-2.036949
537,BEL,CPI,ENRG,AGRWTH,Mar-2020,-3.366467
538,BEL,CPI,ENRG,AGRWTH,Apr-2020,-2.067651
539,BEL,CPI,ENRG,AGRWTH,May-2020,-2.944797
540,BEL,CPI,ENRG,AGRWTH,Jun-2020,-10.61334
541,BEL,CPI,ENRG,AGRWTH,Jul-2020,-9.143855
542,BEL,CPI,ENRG,AGRWTH,Aug-2020,-8.67571
543,BEL,CPI,ENRG,AGRWTH,Sep-2020,-9.178082
544,BEL,CPI,ENRG,AGRWTH,Oct-2020,-8.733709
545,BEL,CPI,ENRG,AGRWTH,Nov-2020,-9.459985
546,BEL,CPI,ENRG,AGRWTH,Dec-2020,-8.98122
547,BEL,CPI,ENRG,AGRWTH,Jan-2021,-8.484556
548,BEL,CPI,ENRG,AGRWTH,Feb-2021,-6.576402
