,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
356,BEL,CPI,FOOD,AGRWTH,Sep-2020,3.512727,
357,BEL,CPI,FOOD,AGRWTH,Oct-2020,3.347672,
358,BEL,CPI,FOOD,AGRWTH,Nov-2020,2.337978,
359,BEL,CPI,FOOD,AGRWTH,Dec-2020,1.614408,
360,BEL,CPI,FOOD,AGRWTH,Jan-2021,1.243896,
361,BEL,CPI,FOOD,AGRWTH,Feb-2021,-0.2105071,
362,BEL,CPI,FOOD,AGRWTH,Mar-2021,-0.5790807,
363,BEL,CPI,FOOD,AGRWTH,Apr-2021,-1.193764,
364,BEL,CPI,FOOD,AGRWTH,May-2021,-1.579511,
365,BEL,CPI,FOOD,AGRWTH,Jun-2021,-1.2287,
366,BEL,CPI,FOOD,AGRWTH,Jul-2021,-0.8681643,
367,BEL,CPI,FOOD,AGRWTH,Aug-2021,-0.3399839,
368,BEL,CPI,FOOD,AGRWTH,Sep-2021,-0.9799474,
369,BEL,CPI,FOOD,AGRWTH,Oct-2021,-0.3166848,
370,BEL,CPI,FOOD,AGRWTH,Nov-2021,0.2375948,
371,BEL,CPI,FOOD,AGRWTH,Dec-2021,1.184682,
372,BEL,CPI,FOOD,AGRWTH,Jan-2022,2.375319,
373,BEL,CPI,FOOD,AGRWTH,Feb-2022,3.95304,
374,BEL,CPI,FOOD,AGRWTH,Mar-2022,4.823444,
375,BEL,CPI,FOOD,AGRWTH,Apr-2022,5.301596,
376,BEL,CPI,FOOD,AGRWTH,May-2022,6.618914,
377,BEL,CPI,FOOD,AGRWTH,Jun-2022,8.617089,
378,BEL,CPI,FOOD,AGRWTH,Jul-2022,9.714699,
379,BEL,CPI,FOOD,AGRWTH,Aug-2022,10.15351,
380,BEL,CPI,FOOD,AGRWTH,Sep-2022,10.74865,
381,BEL,CPI,FOOD,AGRWTH,Oct-2022,12.9164,
382,BEL,CPI,FOOD,AGRWTH,Nov-2022,15.13356,
383,BEL,CPI,FOOD,AGRWTH,Dec-2022,15.15702,
708,BEL,CPI,FOOD,IDX2015,Jan-2018,105.0072,
709,BEL,CPI,FOOD,IDX2015,Feb-2018,104.9278,
710,BEL,CPI,FOOD,IDX2015,Mar-2018,105.8899,
711,BEL,CPI,FOOD,IDX2015,Apr-2018,106.8124,
712,BEL,CPI,FOOD,IDX2015,May-2018,106.1776,
713,BEL,CPI,FOOD,IDX2015,Jun-2018,106.2272,
714,BEL,CPI,FOOD,IDX2015,Jul-2018,105.7808,
715,BEL,CPI,FOOD,IDX2015,Aug-2018,105.0667,
716,BEL,CPI,FOOD,IDX2015,Sep-2018,105.4535,
717,BEL,CPI,FOOD,IDX2015,Oct-2018,106.1776,
718,BEL,CPI,FOOD,IDX2015,Nov-2018,105.8403,
719,BEL,CPI,FOOD,IDX2015,Dec-2018,105.8205,
720,BEL,CPI,FOOD,IDX2015,Jan-2019,106.485,
721,BEL,CPI,FOOD,IDX2015,Feb-2019,106.4751,
722,BEL,CPI,FOOD,IDX2015,Mar-2019,107.1099,
723,BEL,CPI,FOOD,IDX2015,Apr-2019,107.0802,
724,BEL,CPI,FOOD,IDX2015,May-2019,106.9314,
725,BEL,CPI,FOOD,IDX2015,Jun-2019,107.0504,
726,BEL,CPI,FOOD,IDX2015,Jul-2019,106.9115,
727,BEL,CPI,FOOD,IDX2015,Aug-2019,106.9413,
728,BEL,CPI,FOOD,IDX2015,Sep-2019,105.6023,
729,BEL,CPI,FOOD,IDX2015,Oct-2019,106.0685,
730,BEL,CPI,FOOD,IDX2015,Nov-2019,106.0586,
731,BEL,CPI,FOOD,IDX2015,Dec-2019,106.2867,
732,BEL,CPI,FOOD,IDX2015,Jan-2020,107.6455,
733,BEL,CPI,FOOD,IDX2015,Feb-2020,108.3696,
734,BEL,CPI,FOOD,IDX2015,Mar-2020,109.6193,
735,BEL,CPI,FOOD,IDX2015,Apr-2020,111.3352,
736,BEL,CPI,FOOD,IDX2015,May-2020,111.1467,
737,BEL,CPI,FOOD,IDX2015,Jun-2020,110.5913,
738,BEL,CPI,FOOD,IDX2015,Jul-2020,110.8194,
739,BEL,CPI,FOOD,IDX2015,Aug-2020,110.8591,
740,BEL,CPI,FOOD,IDX2015,Sep-2020,109.3118,
741,BEL,CPI,FOOD,IDX2015,Oct-2020,109.6193,
742,BEL,CPI,FOOD,IDX2015,Nov-2020,108.5382,
743,BEL,CPI,FOOD,IDX2015,Dec-2020,108.0026,
744,BEL,CPI,FOOD,IDX2015,Jan-2021,108.9845,
745,BEL,CPI,FOOD,IDX2015,Feb-2021,108.1414,
746,BEL,CPI,FOOD,IDX2015,Mar-2021,108.9845,
747,BEL,CPI,FOOD,IDX2015,Apr-2021,110.0061,
748,BEL,CPI,FOOD,IDX2015,May-2021,109.3912,
749,BEL,CPI,FOOD,IDX2015,Jun-2021,109.2325,
750,BEL,CPI,FOOD,IDX2015,Jul-2021,109.8573,
751,BEL,CPI,FOOD,IDX2015,Aug-2021,110.4822,
752,BEL,CPI,FOOD,IDX2015,Sep-2021,108.2406,
753,BEL,CPI,FOOD,IDX2015,Oct-2021,109.2721,
754,BEL,CPI,FOOD,IDX2015,Nov-2021,108.7961,
755,BEL,CPI,FOOD,IDX2015,Dec-2021,109.2821,
756,BEL,CPI,FOOD,IDX2015,Jan-2022,111.5732,
757,BEL,CPI,FOOD,IDX2015,Feb-2022,112.4163,
758,BEL,CPI,FOOD,IDX2015,Mar-2022,114.2413,
759,BEL,CPI,FOOD,IDX2015,Apr-2022,115.8382,
760,BEL,CPI,FOOD,IDX2015,May-2022,116.6317,
761,BEL,CPI,FOOD,IDX2015,Jun-2022,118.6451,
762,BEL,CPI,FOOD,IDX2015,Jul-2022,120.5296,
763,BEL,CPI,FOOD,IDX2015,Aug-2022,121.7,
764,BEL,CPI,FOOD,IDX2015,Sep-2022,119.875,
765,BEL,CPI,FOOD,IDX2015,Oct-2022,123.3862,
766,BEL,CPI,FOOD,IDX2015,Nov-2022,125.2608,
767,BEL,CPI,FOOD,IDX2015,Dec-2022,125.846,
