,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
324,BEL,CPI,FOOD,AGRWTH,Jan-2018,2.240463,
325,BEL,CPI,FOOD,AGRWTH,Feb-2018,1.321712,
326,BEL,CPI,FOOD,AGRWTH,Mar-2018,1.666508,
327,BEL,CPI,FOOD,AGRWTH,Apr-2018,2.738027,
328,BEL,CPI,FOOD,AGRWTH,May-2018,2.646466,
329,BEL,CPI,FOOD,AGRWTH,Jun-2018,3.09973,
330,BEL,CPI,FOOD,AGRWTH,Jul-2018,2.400384,
331,BEL,CPI,FOOD,AGRWTH,Aug-2018,1.436369,
332,BEL,CPI,FOOD,AGRWTH,Sep-2018,2.38829,
333,BEL,CPI,FOOD,AGRWTH,Oct-2018,2.636625,
334,BEL,CPI,FOOD,AGRWTH,Nov-2018,1.880848,
335,BEL,CPI,FOOD,AGRWTH,Dec-2018,1.474225,
336,BEL,CPI,FOOD,AGRWTH,Jan-2019,1.407386,
337,BEL,CPI,FOOD,AGRWTH,Feb-2019,1.47462,
338,BEL,CPI,FOOD,AGRWTH,Mar-2019,1.152117,
339,BEL,CPI,FOOD,AGRWTH,Apr-2019,0.2507197,
340,BEL,CPI,FOOD,AGRWTH,May-2019,0.7099486,
341,BEL,CPI,FOOD,AGRWTH,Jun-2019,0.7749767,
342,BEL,CPI,FOOD,AGRWTH,Jul-2019,1.068917,
343,BEL,CPI,FOOD,AGRWTH,Aug-2019,1.784197,
344,BEL,CPI,FOOD,AGRWTH,Sep-2019,0.1410835,
345,BEL,CPI,FOOD,AGRWTH,Oct-2019,-0.1027557,
346,BEL,CPI,FOOD,AGRWTH,Nov-2019,0.2061662,
347,BEL,CPI,FOOD,AGRWTH,Dec-2019,0.4405286,
348,BEL,CPI,FOOD,AGRWTH,Jan-2020,1.089791,
349,BEL,CPI,FOOD,AGRWTH,Feb-2020,1.779227,
350,BEL,CPI,FOOD,AGRWTH,Mar-2020,2.342809,
351,BEL,CPI,FOOD,AGRWTH,Apr-2020,3.973694,
352,BEL,CPI,FOOD,AGRWTH,May-2020,3.94212,
353,BEL,CPI,FOOD,AGRWTH,Jun-2020,3.307699,
354,BEL,CPI,FOOD,AGRWTH,Jul-2020,3.655256,
355,BEL,CPI,FOOD,AGRWTH,Aug-2020,3.663513,
